no;smiles;biotic_flag;ExactMolWt;MolLogP;NumHAcceptors;NumHDonors
137;N#CCN(C(=O)CN1CC(N)=NC1=O)c1ncco1;0;262.08143818;-0.6760200000000003;6.0;1.0
138;NC(=O)CNCC(=O)NCC(=O)NCC(=O)O;0;246.096419548;-3.621699999999998;5.0;5.0
139;CC(NCCC(=O)NCC(=O)NCC#N)C(=O)O;0;256.117154992;-1.8048199999999976;5.0;4.0
140;N#CCCN(C=O)CCC(=O)NC(C#N)Cc1ccccc1;0;298.142975816;0.99966;4.0;1.0
141;COC(=O)CCN(CCC(N)=O)C(=O)CN;0;231.121906024;-1.7877999999999972;5.0;2.0
142;CC(C)=NCC(=O)N(CCC(=O)O)CC(=O)O;0;244.105921612;-0.14489999999999964;4.0;2.0
143;N=C(N)NC(C=NCC(=O)NC(CO)C(N)=O)CO;0;274.138953056;-4.136429999999996;6.0;7.0
144;NC(=O)CNC(=O)CNC(=O)CCNC(N)=O;0;245.11240396;-3.237499999999999;4.0;5.0
145;CC(O)C(=O)N(CCC(=O)O)CC(O)Cc1ccccc1;0;295.14197277200003;0.27410000000000023;4.0;3.0
146;NC1=NC(=O)N(CC(=O)Nc2[nH]c(=O)[nH]c2C(=O)O)CC1;0;296.08691748399997;-1.4774000000000003;5.0;5.0
147;C=Cc1nc(N)nc(NCC(=O)NC(C)C#N)n1;0;247.11815803599998;-0.46301999999999977;7.0;3.0
148;C=CC(C#N)N(CCC#N)C(=O)CN(CC(N)=O)C(N)=O;0;292.12838837199996;-1.3271399999999982;5.0;2.0
149;CC(NCCC(=O)NCC#N)C(=O)O;0;199.095691276;-0.9210199999999988;4.0;3.0
150;N=C(N)NCC(O)C(=S)NCC(=O)NCCC(N)=O;0;290.116109436;-3.261029999999997;5.0;7.0
151;N#CCCN(CCc1ccccc1)CC(=O)OCC(N)=O;0;289.142641468;0.47328000000000026;5.0;1.0
152;N#CCC(C#N)N(C=O)C(C#N)CNC(=N)N;0;233.10250797199998;-1.374089999999999;5.0;3.0
153;NC(=O)CCNCC(=O)O;0;146.06914218;-1.464;3.0;3.0
154;N#CC(CO)NCCC(=O)NC(C#N)Cc1ccccc1;0;286.142975816;0.1016600000000003;5.0;3.0
155;NC(=O)CC(C(N)=O)N(C=O)CCC(=O)NCC(=O)O;0;288.106984232;-3.2349999999999977;5.0;4.0
156;N#CCNCCC(=O)OC(Cc1ccccc1)C(N)=O;0;275.126991404;0.12947999999999904;5.0;2.0
157;NC(=O)CCN(CC(=O)O)CC(=O)O;0;204.074621484;-1.6669999999999991;4.0;3.0
158;CC(C#N)N(C(N)=O)C(CC(N)=O)C(N)=O;0;227.101839276;-1.9915199999999986;4.0;3.0
159;N#CCNC(C#N)C#N;0;120.04359612799999;-0.4846600000000001;4.0;1.0
160;C=CC=NCC(=O)NCC(=O)NCC(=O)NCC(=O)O;0;284.11206961199997;-2.3235999999999963;5.0;4.0
